Name
No. 0001 이상해씨
No. 0002 이상해풀
No. 0003 이상해꽃
No. 0003 메가이상해꽃
No. 0003 이상해꽃거다이맥스의 모습
No. 0004 파이리
No. 0005 리자드
No. 0006 리자몽
No. 0006 메가리자몽Xr
No. 0006 메가리자몽Y
No. 0006 리자몽거다이맥스의 모습
No. 0007 꼬부기
No. 0008 어니부기
No. 0009 거북왕
No. 0009 메가거북왕
No. 0009 거북왕거다이맥스의 모습
No. 0010 캐터피
No. 0011 단데기
No. 0012 버터플
No. 0012 버터플거다이맥스의 모습
No. 0013 뿔충이
No. 0014 딱충이
No. 0015 독침붕
No. 0015 메가독침붕
No. 0016 구구
No. 0017 피죤
No. 0018 피죤투
No. 0018 메가피죤투
No. 0019 꼬렛
No. 0019 꼬렛알로라의 모습
No. 0020 레트라
No. 0020 레트라알로라의 모습
No. 0021 깨비참
No. 0022 깨비드릴조
No. 0023 아보
No. 0024 아보크
No. 0025 피카츄
No. 0025 피카츄거다이맥스의 모습
No. 0026 라이츄
No. 0026 라이츄알로라의 모습
No. 0027 모래두지
No. 0027 모래두지알로라의 모습
No. 0028 고지
No. 0028 고지알로라의 모습
No. 0029 니드런♀
No. 0030 니드리나
No. 0031 니드퀸
No. 0032 니드런♂
No. 0033 니드리노
No. 0034 니드킹
No. 0035 삐삐
No. 0036 픽시
No. 0037 식스테일
No. 0037 식스테일알로라의 모습
No. 0038 나인테일
No. 0038 나인테일알로라의 모습
No. 0039 푸린
No. 0040 푸크린
No. 0041 주뱃
No. 0042 골뱃
No. 0043 뚜벅쵸
No. 0044 냄새꼬
No. 0045 라플레시아
No. 0046 파라스
No. 0047 파라섹트
No. 0048 콘팡
No. 0049 도나리
No. 0050 디그다
No. 0050 디그다알로라의 모습
No. 0051 닥트리오
No. 0051 닥트리오알로라의 모습
No. 0052 나옹
No. 0052 나옹알로라의 모습
No. 0052 나옹가라르의 모습
No. 0052 나옹거다이맥스의 모습
No. 0053 페르시온
No. 0053 페르시온알로라의 모습
No. 0054 고라파덕
No. 0055 골덕
No. 0056 망키
No. 0057 성원숭
No. 0058 가디
No. 0058 가디히스이의 모습
No. 0059 윈디
No. 0059 윈디히스이의 모습
No. 0060 발챙이
No. 0061 슈륙챙이
No. 0062 강챙이
No. 0063 캐이시
No. 0064 윤겔라
No. 0065 후딘
No. 0065 메가후딘
No. 0066 알통몬
No. 0067 근육몬
No. 0068 괴력몬
No. 0068 괴력몬거다이맥스의 모습
No. 0069 모다피
No. 0070 우츠동
No. 0071 우츠보트
No. 0072 왕눈해
No. 0073 독파리
No. 0074 꼬마돌
No. 0074 꼬마돌알로라의 모습
No. 0075 데구리
No. 0075 데구리알로라의 모습
No. 0076 딱구리
No. 0076 딱구리알로라의 모습
No. 0077 포니타
No. 0077 포니타가라르의 모습
No. 0078 날쌩마
No. 0078 날쌩마가라르의 모습
No. 0079 야돈
No. 0079 야돈가라르의 모습
No. 0080 야도란
No. 0080 야도란가라르의 모습
No. 0080 메가야도란
No. 0081 코일
No. 0082 레어코일
No. 0083 파오리
No. 0083 파오리가라르의 모습
No. 0084 두두
No. 0085 두트리오
No. 0086 쥬쥬
No. 0087 쥬레곤
No. 0088 질퍽이
No. 0088 질퍽이알로라의 모습
No. 0089 질뻐기
No. 0089 질뻐기알로라의 모습
No. 0090 셀러
No. 0091 파르셀
No. 0092 고오스
No. 0093 고우스트
No. 0094 팬텀
No. 0094 메가팬텀
No. 0094 팬텀거다이맥스의 모습
No. 0095 롱스톤
No. 0096 슬리프
No. 0097 슬리퍼
No. 0098 크랩
No. 0099 킹크랩
No. 0099 킹크랩거다이맥스의 모습
No. 0100 찌리리공
No. 0100 찌리리공히스이의 모습
No. 0101 붐볼
No. 0101 붐볼히스이의 모습
No. 0102 아라리
No. 0103 나시
No. 0103 나시알로라의 모습
No. 0104 탕구리
No. 0105 텅구리
No. 0105 텅구리알로라의 모습
No. 0106 시라소몬
No. 0107 홍수몬
No. 0108 내루미
No. 0109 또가스
No. 0110 또도가스
No. 0110 또도가스가라르의 모습
No. 0111 뿔카노
No. 0112 코뿌리
No. 0113 럭키
No. 0114 덩쿠리
No. 0115 캥카
No. 0115 메가캥카
No. 0116 쏘드라
No. 0117 시드라
No. 0118 콘치
No. 0119 왕콘치
No. 0120 별가사리
No. 0121 아쿠스타
No. 0122 마임맨
No. 0122 마임맨가라르의 모습
No. 0123 스라크
No. 0124 루주라
No. 0125 에레브
No. 0126 마그마
No. 0127 쁘사이저
No. 0127 메가쁘사이저
No. 0128 켄타로스
No. 0129 잉어킹
No. 0130 갸라도스
No. 0130 메가갸라도스
No. 0131 라프라스
No. 0131 라프라스거다이맥스의 모습
No. 0132 메타몽
No. 0133 이브이
No. 0133 이브이거다이맥스의 모습
No. 0134 샤미드
No. 0135 쥬피썬더
No. 0136 부스터
No. 0137 폴리곤
No. 0138 암나이트
No. 0139 암스타
No. 0140 투구
No. 0141 투구푸스
No. 0142 프테라
No. 0142 메가프테라
No. 0143 잠만보
No. 0143 잠만보거다이맥스의 모습
No. 0144 프리져
No. 0145 썬더
No. 0146 파이어
No. 0147 미뇽
No. 0148 신뇽
No. 0149 망나뇽
No. 0150 뮤츠
No. 0150 메가뮤츠X
No. 0150 메가뮤츠Y
No. 0151 뮤
No. 0152 치코리타
No. 0153 베이리프
No. 0154 메가니움
No. 0155 브케인
No. 0156 마그케인
No. 0157 블레이범
No. 0157 블레이범히스이의 모습
No. 0158 리아코
No. 0159 엘리게이
No. 0160 장크로다일
No. 0161 꼬리선
No. 0162 다꼬리
No. 0163 부우부
No. 0164 야부엉
No. 0165 레디바
No. 0166 레디안
No. 0167 페이검
No. 0168 아리아도스
No. 0169 크로뱃
No. 0170 초라기
No. 0171 랜턴
No. 0172 피츄
No. 0173 삐
No. 0174 푸푸린
No. 0175 토게피
No. 0176 토게틱
